Calciatore,Ruolo,Fantamedia,Presenze,Gf,Gs,Rp,Rs,Au,Amm,Esp,FM_su_Totale_Gare
Luperto,D,6.67,3,0,0,0,0,0,0,0,6.67
Krstovic,A,6.67,3,1,0,0,0,0,0,0,6.67
Simeone,A,6.67,3,1,0,0,0,0,0,0,6.67
Bastoni,D,6.5,3,0,0,0,0,0,0,0,6.5
Bremer,D,6.5,2,0,0,0,0,0,0,0,4.33
Erlic,D,6.5,2,0,0,0,0,0,0,0,4.33
Goglichidze,D,6.5,1,0,0,0,0,0,0,0,2.17
Guilbert,D,6.5,1,0,0,0,0,0,0,0,2.17
Idzes,D,6.5,2,0,0,0,0,0,0,0,4.33
Ismajli,D,6.5,3,0,0,0,0,0,0,0,6.5
Martin,D,6.5,2,0,0,0,0,0,0,0,4.33
Masina,D,6.5,3,0,0,0,0,0,0,0,6.5
Pezzella Giu.,D,6.5,3,0,0,0,0,0,1,0,6.5
Ruggeri,D,6.5,3,0,0,0,0,0,0,0,6.5
Sabelli,D,6.5,2,0,0,0,0,0,0,0,4.33
Wieteska,D,6.5,1,0,0,0,0,0,0,0,2.17
Badelj,C,6.5,2,0,0,0,0,0,0,0,4.33
Bennacer,C,6.5,1,0,0,0,0,0,0,0,2.17
Ellertsson,C,6.5,3,0,0,0,0,0,0,0,6.5
Fazzini,C,6.5,3,0,0,0,0,0,1,0,6.5
Frendrup,C,6.5,2,0,0,0,0,0,0,0,4.33
Kastanos,C,6.5,1,0,0,0,0,0,0,0,2.17
Locatelli,C,6.5,2,0,0,0,0,0,1,0,4.33
Messias,C,6.5,2,1,0,0,1,0,0,0,4.33
Nicolussi Caviglia,C,6.5,2,0,0,0,0,0,0,0,4.33
Oudin,C,6.5,1,0,0,0,0,0,0,0,2.17
Paz N.,C,6.5,1,0,0,0,0,0,0,0,2.17
Thuram K.,C,6.5,1,0,0,0,0,0,0,0,2.17
Thauvin,A,6.5,2,1,0,0,1,0,0,0,4.33
Sommer,P,6.33,3,0,2,1,0,0,0,0,6.33
Balogh,D,6.33,3,0,0,0,0,0,1,0,6.33
Beukema,D,6.33,3,0,0,0,0,0,0,0,6.33
Spinazzola,D,6.33,3,0,0,0,0,0,0,0,6.33
Bernabe',C,6.33,3,0,0,0,0,0,0,0,6.33
Mkhitaryan,C,6.33,3,0,0,0,0,0,1,0,6.33
Musah,C,6.33,3,0,0,0,0,0,0,0,6.33
Sohm,C,6.33,3,0,0,0,0,0,0,0,6.33
Almqvist,A,6.33,3,0,0,0,0,0,0,0,6.33
Bellanova,D,6.25,2,0,0,0,0,0,0,0,4.17
Buongiorno,D,6.25,2,0,0,0,0,0,0,0,4.17
Gatti,D,6.25,2,0,0,0,0,0,0,0,4.17
Mancini,D,6.25,2,0,0,0,0,0,0,0,4.17
Perez N.,D,6.25,2,0,0,0,0,0,0,0,4.17
Duda,C,6.25,2,0,0,0,0,0,2,0,4.17
Harroui,C,6.25,2,0,0,0,0,0,0,0,4.17
Karlstrom,C,6.25,2,0,0,0,0,0,0,0,4.17
Strefezza,C,6.25,2,0,0,0,0,0,0,0,4.17
Brenner,A,6.25,2,0,0,0,0,0,0,0,4.17
Coulibaly W.,D,6.17,3,0,0,0,0,0,0,0,6.17
Dimarco,D,6.17,3,0,0,0,0,0,0,0,6.17
Lazaro,D,6.17,3,0,0,0,0,0,1,0,6.17
Lazzari,D,6.17,3,0,0,0,0,0,0,0,6.17
Viti,D,6.17,3,0,0,0,0,0,0,0,6.17
Zappacosta,D,6.17,3,0,0,0,0,0,0,0,6.17
Freuler,C,6.17,3,0,0,0,0,0,0,0,6.17
Henderson L.,C,6.17,3,0,0,0,0,0,1,0,6.17
Ramadani,C,6.17,3,0,0,0,0,0,0,0,6.17
Ricci S.,C,6.17,3,0,0,0,0,0,1,0,6.17
Esposito Se.,A,6.17,3,0,0,0,0,0,0,0,6.17
Di Gregorio,P,6,2,0,0,0,0,0,0,0,4
Musso,P,6,1,0,0,0,0,0,0,0,2
Bakker,D,6,1,0,0,0,0,0,0,0,2
Candela,D,6,2,0,0,0,0,0,0,0,4
Carlos Augusto,D,6,3,0,0,0,0,0,0,0,6
Casale,D,6,2,0,0,0,0,0,0,0,4
Circati,D,6,3,0,0,0,0,0,1,0,6
Dodo',D,6,2,0,0,0,0,0,0,0,4
Dumfries,D,6,2,0,0,0,0,0,0,0,4
Ehizibue,D,6,2,0,0,0,0,0,1,0,4
Gaspar K.,D,6,3,0,0,0,0,0,0,0,6
Godfrey,D,6,1,0,0,0,0,0,0,0,2
Hernandez T.,D,6,3,0,0,0,0,0,0,0,6
Iovine,D,6,1,0,0,0,0,0,0,0,2
Jean,D,6,1,0,0,0,0,0,0,0,2
Kabasele,D,6,1,0,0,0,0,0,0,0,2
Kayode,D,6,1,0,0,0,0,0,0,0,2
Kyriakopoulos,D,6,2,0,0,0,0,0,0,0,4
Lykogiannis,D,6,2,0,0,0,0,0,0,0,4
N'Dicka,D,6,2,0,0,0,0,0,0,0,4
Palomino,D,6,2,0,0,0,0,0,0,0,4
Parisi,D,6,2,0,0,0,0,0,0,0,4
Sergi Roberto,D,6,1,0,0,0,0,0,0,0,2
Zanoli,D,6,2,0,0,0,0,0,0,0,4
Adopo,C,6,2,0,0,0,0,0,0,0,4
Baselli,C,6,1,0,0,0,0,0,0,0,2
Bianco,C,6,1,0,0,0,0,0,0,0,2
Bondo,C,6,2,0,0,0,0,0,0,0,4
Camara D.,C,6,1,0,0,0,0,0,0,0,2
Cristante,C,6,2,0,0,0,0,0,0,0,4
Crnigoj,C,6,1,0,0,0,0,0,0,0,2
Douglas Luiz,C,6,2,0,0,0,0,0,0,0,4
Ekkelenkamp,C,6,2,0,0,0,0,0,0,0,4
El Haddad,C,6,1,0,0,0,0,0,0,0,2
Fagioli,C,6,2,0,0,0,0,0,0,0,4
Felici,C,6,1,0,0,0,0,0,0,0,2
Grassi,C,6,1,0,0,0,0,0,0,0,2
Ikone',C,6,1,0,0,0,0,0,0,0,2
Le Fee,C,6,2,0,0,0,0,0,0,0,4
Malinovskyi,C,6,2,0,0,0,0,0,1,0,4
Ndoye,C,6,2,0,0,0,0,0,0,0,4
Perrone,C,6,1,0,0,0,0,0,0,0,2
Richardson,C,6,1,0,0,0,0,0,0,0,2
Suslov,C,6,2,0,0,0,0,0,0,0,4
Zalewski,C,6,2,0,0,0,0,0,0,0,4
Zarraga,C,6,1,0,0,0,0,0,0,0,2
Cambiaghi,A,6,1,0,0,0,0,0,0,0,2
Caprari,A,6,2,0,0,0,0,0,0,0,4
Ekuban,A,6,1,0,0,0,0,0,0,0,2
Gabrielloni,A,6,1,0,0,0,0,0,0,0,2
Kowalski,A,6,1,0,0,0,0,0,0,0,2
Ngonge,A,6,1,0,0,0,0,0,0,0,2
Sanabria,A,6,2,0,0,0,0,0,0,0,4
Vitinha O.,A,6,2,0,0,0,0,0,0,0,4
Acerbi,D,5.83,3,0,0,0,0,0,0,0,5.83
Azzi,D,5.83,3,0,0,0,0,0,1,0,5.83
Sverko,D,5.83,3,0,0,0,0,0,0,0,5.83
Vojvoda,D,5.83,3,0,0,0,0,0,2,0,5.83
Zampano,D,5.83,3,0,0,0,0,0,1,0,5.83
Aebischer,C,5.83,3,0,0,0,0,0,0,0,5.83
Duncan,C,5.83,3,0,0,0,0,0,1,0,5.83
Ederson D.s.,C,5.83,3,0,0,0,0,0,1,0,5.83
Maleh,C,5.83,3,0,0,0,0,0,1,0,5.83
Pierret,C,5.83,3,0,0,0,0,0,0,0,5.83
Reijnders,C,5.83,3,0,0,0,0,0,0,0,5.83
Tameze,C,5.83,3,0,0,0,0,0,1,0,5.83
Castro S.,A,5.83,3,0,0,0,0,0,0,0,5.83
Luvumbo,A,5.83,3,0,0,0,0,0,0,0,5.83
Mihaila,A,5.83,3,0,0,0,0,0,1,0,5.83
Pizzignacco,P,5.75,2,0,1,0,0,0,0,0,3.83
Terracciano,P,5.75,2,0,1,0,0,0,0,0,3.83
Bani,D,5.75,2,0,0,0,0,0,0,0,3.83
Birindelli,D,5.75,2,0,0,0,0,0,0,0,3.83
Celik,D,5.75,2,0,0,0,0,0,0,0,3.83
Comuzzo,D,5.75,2,0,0,0,0,0,0,0,3.83
Coppola D.,D,5.75,2,0,0,0,0,0,1,0,3.83
Dawidowicz,D,5.75,2,0,0,0,0,0,0,0,3.83
Frese,D,5.75,2,0,0,0,0,0,0,0,3.83
Hien,D,5.75,2,0,0,0,0,0,1,0,3.83
Magnani,D,5.75,2,0,0,0,0,0,0,0,3.83
Mina,D,5.75,2,0,0,0,0,0,0,0,3.83
Tchatchoua,D,5.75,2,0,0,0,0,0,1,0,3.83
Vasquez,D,5.75,2,0,0,0,0,0,0,0,3.83
Amrabat,C,5.75,2,0,0,0,0,0,0,0,3.83
Colpani,C,5.75,2,0,0,0,0,0,0,0,3.83
Cyprien,C,5.75,2,0,0,0,0,0,0,0,3.83
Da Cunha,C,5.75,2,0,0,0,0,0,0,0,3.83
Gagliardini,C,5.75,2,0,0,0,0,0,0,0,3.83
Pellegrini Lo.,C,5.75,2,0,0,0,0,0,0,0,3.83
Rovella,C,5.75,2,0,0,0,0,0,1,0,3.83
Samardzic,C,5.75,2,0,0,0,0,0,0,0,3.83
Vecino,C,5.75,2,0,0,0,0,0,0,0,3.83
Dybala,A,5.75,2,0,0,0,0,0,0,0,3.83
Kean,A,5.75,2,0,0,0,0,0,0,0,3.83
Martinez L.,A,5.75,2,0,0,0,0,0,0,0,3.83
Pierini,A,5.75,2,0,0,0,0,0,0,0,3.83
Tengstedt,A,5.75,2,0,0,0,0,0,0,0,3.83
Scuffet,P,5.67,3,0,2,0,0,0,0,0,5.67
Skorupski,P,5.67,3,0,5,1,0,0,0,0,5.67
Augello,D,5.67,3,0,0,0,0,0,0,0,5.67
Olivera,D,5.67,3,0,0,0,0,0,0,0,5.67
Svoboda,D,5.67,3,0,0,0,0,0,0,0,5.67
Tomori,D,5.67,3,0,0,0,0,0,0,0,5.67
Deiola,C,5.67,3,0,0,0,0,0,1,0,5.67
Linetty,C,5.67,3,0,0,0,0,0,1,0,5.67
Loftus-Cheek,C,5.67,3,0,0,0,0,0,1,0,5.67
Moro N.,C,5.67,3,0,0,0,0,0,0,0,5.67
Prati,C,5.67,3,0,0,0,0,0,1,0,5.67
Tete Morente,C,5.67,3,0,0,0,0,0,0,0,5.67
Banda,A,5.67,3,0,0,0,0,0,1,0,5.67
Solbakken,A,5.67,3,0,0,0,0,0,1,0,5.67
Svilar,P,5.5,2,0,2,0,0,0,0,0,3.67
Vasquez D.,P,5.5,3,0,2,0,0,0,1,0,5.5
Angelino,D,5.5,2,0,0,0,0,0,0,0,3.67
Baschirotto,D,5.5,3,0,0,0,0,0,0,0,5.5
Caldirola,D,5.5,2,0,0,0,0,0,0,0,3.67
Gallo,D,5.5,3,0,0,0,0,0,1,0,5.5
Izzo,D,5.5,2,0,0,0,0,0,1,0,3.67
Mari',D,5.5,2,0,0,0,0,0,1,0,3.67
Marusic,D,5.5,3,0,0,0,0,0,0,0,5.5
Osorio,D,5.5,1,0,0,0,0,0,0,0,1.83
Pedersen,D,5.5,1,0,0,0,0,0,1,0,1.83
Ranieri L.,D,5.5,1,0,0,0,0,0,0,0,1.83
Romagnoli,D,5.5,3,0,0,0,0,0,1,0,5.5
Rrahmani,D,5.5,3,0,0,0,0,0,1,0,5.5
Sagrado,D,5.5,1,0,0,0,0,0,1,0,1.83
Toloi,D,5.5,1,0,0,0,0,0,0,0,1.83
Zappa,D,5.5,3,0,0,0,0,0,1,0,5.5
Alidou,C,5.5,1,0,0,0,0,0,0,0,1.83
Barak,C,5.5,1,0,0,0,0,0,0,0,1.83
Belahyane,C,5.5,2,0,0,0,0,0,1,0,3.67
Braunoder,C,5.5,2,0,0,0,0,0,1,0,3.67
Estevez,C,5.5,2,0,0,0,0,0,1,0,3.67
Guendouzi,C,5.5,3,0,0,0,0,0,1,0,5.5
Hainaut,C,5.5,1,0,0,0,0,0,0,0,1.83
Karlsson,C,5.5,2,0,0,0,0,0,0,0,3.67
Lobotka,C,5.5,3,0,0,0,0,0,1,0,5.5
Lovric,C,5.5,2,0,0,0,0,0,0,0,3.67
Maldini,C,5.5,2,0,0,0,0,0,1,0,3.67
Marin,C,5.5,3,0,0,0,0,0,2,0,5.5
Mazzitelli,C,5.5,1,0,0,0,0,0,0,0,1.83
Oristanio,C,5.5,3,0,0,0,0,0,1,0,5.5
Payero,C,5.5,2,0,0,0,0,0,1,0,3.67
Pessina,C,5.5,2,0,0,0,0,0,0,0,3.67
Politano,C,5.5,3,0,0,0,0,0,0,0,5.5
Serdar,C,5.5,1,0,0,0,0,0,0,0,1.83
Thorsby,C,5.5,2,0,0,0,0,0,1,0,3.67
Vignato S.,C,5.5,2,0,0,0,0,0,0,0,3.67
Viola,C,5.5,1,0,0,0,0,0,0,0,1.83
Belotti,A,5.5,2,0,0,0,0,0,0,0,3.67
Charpentier,A,5.5,1,0,0,0,0,0,0,0,1.83
Djuric,A,5.5,1,0,0,0,0,0,0,0,1.83
Dovbyk,A,5.5,2,0,0,0,0,0,0,0,3.67
Gytkjaer,A,5.5,3,0,0,0,0,0,0,0,5.5
Kouame',A,5.5,2,0,0,0,0,0,0,0,3.67
Mota,A,5.5,2,0,0,0,0,0,0,0,3.67
Pellegri,A,5.5,1,0,0,0,0,0,0,0,1.83
Pierotti,A,5.5,3,0,0,0,0,0,0,0,5.5
Pohjanpalo,A,5.5,1,0,0,0,0,0,0,0,1.83
Soule',A,5.5,2,0,0,0,0,0,0,0,3.67
Joronen,P,5.33,3,0,4,0,0,0,0,0,5.33
Altare,D,5.33,3,0,0,0,0,1,1,0,5.33
Mazzocchi,D,5.33,3,0,0,0,0,0,1,0,5.33
Posch,D,5.33,3,0,0,0,0,0,1,0,5.33
De Roon,C,5.33,3,0,0,0,0,0,2,0,5.33
Fabbian,C,5.33,3,1,0,0,0,0,0,0,5.33
Okoye,P,5.25,2,0,2,0,0,0,1,0,3.5
Calabria,D,5.25,2,0,0,0,0,0,0,0,3.5
De Winter,D,5.25,2,0,0,0,0,0,1,0,3.5
Gendrey,D,5.25,2,0,0,0,0,0,0,0,3.5
Kamara H.,D,5.25,2,0,0,0,0,0,0,1,3.5
Lucumi',D,5.25,2,0,0,0,0,0,1,0,3.5
Fofana Y.,C,5.25,2,0,0,0,0,0,1,0,3.5
Rafia,C,5.25,2,0,0,0,0,0,0,0,3.5
Cerri,A,5.25,2,0,0,0,0,0,0,0,3.5
Petagna,A,5.25,2,0,0,0,0,0,0,0,3.5
Meret,P,5,3,0,4,0,0,0,0,0,5
Barba,D,5,2,0,0,0,0,0,0,0,3.33
Delprato,D,5,2,0,2,0,0,0,1,0,3.33
Dorgu,D,5,3,0,0,0,0,0,0,1,5
Haps,D,5,1,0,0,0,0,0,1,0,1.67
Moreno Alb.,D,5,2,0,0,0,0,0,1,0,3.33
Patric,D,5,2,0,0,0,0,0,1,0,3.33
Sazonov,D,5,1,0,0,0,0,0,0,0,1.67
Saelemaekers,C,5,1,0,0,0,0,0,1,0,1.67
Verdi,C,5,1,0,0,0,0,0,1,0,1.67
Zaniolo,C,5,1,0,0,0,0,0,1,0,1.67
Raspadori,A,5,3,0,0,0,0,0,1,0,5
Suzuki,P,4.83,3,0,2,0,0,0,0,1,4.83
Pasalic,C,4.83,3,0,0,0,1,0,1,0,4.83
Gollini,P,4.75,2,0,2,0,0,0,1,0,3.17
Montipo',P,4.75,2,0,3,0,0,0,0,0,3.17
Emerson Royal,D,4.75,2,0,0,0,0,0,1,0,3.17
Taremi,A,4.67,3,0,0,0,0,0,0,0,4.67
Maignan,P,4.5,3,0,6,0,0,0,0,0,4.5
Bisseck,D,4.5,1,0,0,0,0,0,0,0,1.5
Djimsiti,D,4.5,3,0,0,0,0,1,1,0,4.5
Juan Jesus,D,4.5,1,0,0,0,0,0,0,0,1.5
Sala M.,D,4.5,1,0,0,0,0,0,1,0,1.5
Terracciano F.,D,4.5,1,0,0,0,0,0,1,0,1.5
Valeri,D,4.5,3,0,0,0,0,0,0,0,4.5
Engelhardt,C,4.5,1,0,0,0,0,0,1,0,1.5
Frattesi,C,4.5,3,0,0,0,0,0,0,0,4.5
Dele-Bashiru,C,4.33,3,0,0,0,0,0,0,0,4.33
Falcone,P,4.17,3,0,6,0,0,0,1,0,4.17
De Ketelaere,A,4.17,3,0,0,0,0,0,0,0,4.17
Provedel,P,4,3,0,5,0,0,0,0,0,4
Reina,P,4,2,0,4,0,0,0,0,0,2.67
Miranda J.,D,4,3,0,0,0,0,0,0,0,4
Haas,C,4,3,0,0,0,0,0,0,0,4
Paredes,C,4,1,0,0,0,0,0,0,0,1.33
Noslin,A,4,3,0,0,0,0,0,0,0,4
Cacace,D,3.83,3,0,0,0,0,0,1,0,3.83
Dembele' A.,D,3.83,3,0,0,0,0,0,1,0,3.83
Walukiewicz,D,3.83,3,0,0,0,0,0,0,0,3.83
Odgaard,A,3.83,3,0,0,0,0,0,0,0,3.83
Abraham,A,3.75,2,0,0,0,0,0,0,0,2.5
Chukwueze,C,3.67,3,0,0,0,0,0,0,0,3.67
Coulibaly L.,C,3.67,3,0,0,0,0,0,0,0,3.67
Tchaouna,C,3.67,3,0,0,0,0,0,0,0,3.67
Lapadula,A,3.67,3,0,0,0,0,0,1,0,3.67
Carnesecchi,P,3.5,2,0,6,0,0,0,0,0,2.33
Pongracic,D,3.5,1,0,0,0,0,0,0,1,1.17
Thiaw,D,3.5,1,0,0,0,0,1,0,0,1.17
Cassa,C,3,2,0,0,0,0,0,0,0,2
Arnautovic,A,3,2,0,0,0,0,0,0,0,2
Karamoh,A,3,2,0,0,0,0,0,0,0,2
Martinez Quarta,D,2.75,2,0,0,0,0,0,0,0,1.83
Sosa B.,D,2.75,2,0,0,0,0,0,0,0,1.83
Doumbia I.,C,2.75,2,0,0,0,0,0,0,0,1.83
Sottil,C,2.75,2,0,0,0,0,0,0,0,1.83
Dallinga,A,2.75,2,0,0,0,0,0,0,0,1.83
Mandragora,C,2.5,2,0,0,0,0,0,1,0,1.67
Goldaniga,D,2.25,2,0,0,0,0,0,1,0,1.5
Jovic,A,2.25,2,0,0,0,0,0,1,0,1.5
Palestra,D,2,3,0,0,0,0,0,0,0,2
Asllani,C,2,3,0,0,0,0,0,0,0,2
Pavoletti,A,2,3,0,0,0,0,0,0,0,2
Raimondo,A,2,3,0,0,0,0,0,0,0,2
Danilo,D,0,1,0,0,0,0,0,0,0,0
De Silvestri,D,0,1,0,0,0,0,0,0,0,0
Hysaj,D,0,2,0,0,0,0,0,0,0,0
Kalulu,D,0,1,0,0,0,0,0,0,0,0
Obert,D,0,1,0,0,0,0,0,0,0,0
Pereira P.,D,0,1,0,0,0,0,0,0,0,0
Rouhi,D,0,1,0,0,0,0,0,0,0,0
Stojanovic,D,0,1,0,0,0,0,0,0,0,0
Zemura,D,0,1,0,0,0,0,0,0,0,0
Abildgaard,C,0,1,0,0,0,0,0,0,0,0
Berisha M.,C,0,2,0,0,0,0,0,0,0,0
Castrovilli,C,0,1,0,0,0,0,0,0,0,0
Ciammaglichella,C,0,1,0,0,0,0,0,0,0,0
Dani Silva,C,0,1,0,0,0,0,0,0,0,0
El Shaarawy,C,0,1,0,0,0,0,0,0,0,0
Lella,C,0,1,0,0,0,0,0,0,0,0
Manzoni,C,0,1,0,0,0,0,0,0,0,0
Marchwinski,C,0,1,0,0,0,0,0,0,0,0
Sulemana I.,C,0,1,0,0,0,0,0,0,0,0
Urbanski,C,0,1,0,0,0,0,0,0,0,0
Anghele',A,0,1,0,0,0,0,0,0,0,0
Beltran L.,A,0,1,0,0,0,0,0,0,0,0
Caputo,A,0,1,0,0,0,0,0,0,0,0
Cheddira,A,0,1,0,0,0,0,0,0,0,0
Davis K.,A,0,2,0,0,0,0,0,0,0,0
Ekhator,A,0,1,0,0,0,0,0,0,0,0
Ekong,A,0,2,0,0,0,0,0,0,0,0
Pedro,A,0,1,0,0,0,0,0,0,0,0
Rebic,A,0,1,0,0,0,0,0,0,0,0
